doc,our_query_id,label
doc_1,Q4,1
doc_240,Q4,1
doc_666,Q4,1
doc_1495,Q4,1
doc_1766,Q4,1
doc_1862,Q4,1
doc_1941,Q4,1
doc_2674,Q4,1
doc_2963,Q4,1
doc_3213,Q4,1
doc_3661,Q4,0
doc_244,Q4,0
doc_1504,Q4,0
doc_1565,Q4,0
doc_1567,Q4,0
doc_3057,Q4,0
doc_3070,Q4,0
doc_3175,Q4,0
doc_3576,Q4,0
doc_1031,Q4,0
doc_3727,Q5,1
doc_3732,Q5,1
doc_3570,Q5,1
doc_70,Q5,1
doc_2954,Q5,1
doc_3129,Q5,1
doc_3269,Q5,1
doc_3383,Q5,1
doc_3402,Q5,1
doc_1094,Q5,1
doc_19,Q6,1
doc_214,Q6,1
doc_366,Q6,1
doc_731,Q6,1
doc_908,Q6,1
doc_921,Q6,1
doc_1144,Q6,1
doc_1174,Q6,1
doc_1216,Q6,1
doc_1218,Q6,1
Doc_214,Q7,1
Doc_1100,Q7,1
Doc_1713,Q7,1
Doc_2844,Q7,1
Doc_67,Q7,1
Doc_407,Q7,1
Doc_780,Q7,1
Doc_860,Q7,1
Doc_879,Q7,1
Doc_908,Q7,1
doc_1578,Q8,1
doc_1690,Q8,1
doc_1829,Q8,1
doc_2013,Q8,1
doc_2030,Q8,1
doc_2042,Q8,1
doc_2043,Q8,1
doc_2059,Q8,1
doc_2069,Q8,1
doc_2070,Q8,1
